work_year,job_title,job_category,salary_in_usd,company_size,work_setting,salary_category
1.0,0.9596774193548386,0.7777777777777777,0.3448275862068966,0.5,1.0,2
1.0,0.9596774193548386,0.7777777777777777,0.2386206896551724,0.5,1.0,1
1.0,0.3548387096774194,0.4444444444444444,0.4827586206896552,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.3103448275862069,0.5,1.0,2
1.0,0.7741935483870968,1.0,0.4572413793103448,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.2340229885057471,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.471264367816092,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.3103448275862069,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.3103448275862069,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.1954022988505747,0.5,0.5,1
1.0,0.7741935483870968,1.0,0.5344827586206897,0.5,0.5,3
1.0,0.7741935483870968,1.0,0.36137931034482756,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.3218390804597701,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.24137931034482757,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.48666666666666664,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.27195402298850574,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.38850574712643676,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.2482758620689655,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.26436781609195403,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.23448275862068962,0.5,0.5,1
1.0,0.5161290322580645,0.7777777777777777,0.3333333333333333,0.5,1.0,2
1.0,0.5161290322580645,0.7777777777777777,0.28735632183908044,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.3471264367816092,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.13333333333333336,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.3928735632183908,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.26275862068965516,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.26436781609195403,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.20459770114942527,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.2942528735632184,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.232183908045977,0.5,1.0,1
1.0,0.9596774193548386,0.7777777777777777,0.3448275862068966,0.5,1.0,2
1.0,0.9596774193548386,0.7777777777777777,0.2386206896551724,0.5,1.0,1
1.0,0.9596774193548386,0.7777777777777777,0.471264367816092,0.5,0.5,2
1.0,0.9596774193548386,0.7777777777777777,0.3793103448275862,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.38850574712643676,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.2482758620689655,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.45977011494252873,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.42528735632183906,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.5471264367816092,0.5,0.5,3
1.0,0.5564516129032258,0.7777777777777777,0.26666666666666666,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.471264367816092,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.3701149425287356,0.5,0.5,2
1.0,0.4838709677419355,0.6666666666666666,0.07865747126436783,0.5,1.0,1
1.0,0.4838709677419355,0.6666666666666666,0.05037241379310345,0.5,1.0,1
1.0,0.5564516129032258,0.7777777777777777,0.4482758620689655,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.30344827586206896,0.5,0.5,2
1.0,0.46774193548387094,0.8888888888888888,0.3931034482758621,0.5,0.5,2
1.0,0.46774193548387094,0.8888888888888888,0.335632183908046,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.4367816091954023,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.31494252873563217,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.471264367816092,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.40229885057471265,0.5,1.0,2
1.0,0.7741935483870968,1.0,0.4367816091954023,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.31494252873563217,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.2804597701149425,0.5,1.0,2
1.0,0.282258064516129,0.2222222222222222,0.21839080459770116,0.5,1.0,1
1.0,0.5564516129032258,0.7777777777777777,0.36091954022988504,0.5,1.0,2
1.0,0.5564516129032258,0.7777777777777777,0.30114942528735633,0.5,1.0,2
1.0,0.3548387096774194,0.4444444444444444,0.3057471264367816,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.19310344827586207,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.3103448275862069,0.5,0.5,2
1.0,0.5564516129032258,0.7777777777777777,0.26436781609195403,0.5,0.5,2
1.0,0.282258064516129,0.2222222222222222,0.20689655172413796,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.19310344827586207,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.08620689655172414,0.5,0.5,1
1.0,0.8306451612903225,1.0,0.3804919540229885,0.5,1.0,2
1.0,0.8306451612903225,1.0,0.21450114942528736,0.5,1.0,1
1.0,0.7741935483870968,1.0,0.4482758620689655,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.30344827586206896,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.6328735632183908,0.5,0.5,3
1.0,0.3548387096774194,0.4444444444444444,0.4176666666666667,0.5,0.5,2
1.0,0.016129032258064516,1.0,0.471264367816092,0.5,0.5,2
1.0,0.016129032258064516,1.0,0.3701149425287356,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.367816091954023,0.5,0.5,2
1.0,0.7741935483870968,1.0,0.26436781609195403,0.5,0.5,2
1.0,0.33064516129032256,0.3333333333333333,0.39080459770114945,0.5,0.5,2
1.0,0.33064516129032256,0.3333333333333333,0.3103448275862069,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.2988505747126437,0.5,0.5,2
1.0,0.3548387096774194,0.4444444444444444,0.22988505747126436,0.5,0.5,1
1.0,0.7580645161290323,1.0,0.2712643678160919,0.5,0.5,2
1.0,0.7580645161290323,1.0,0.09954022988505747,0.5,0.5,1
1.0,0.056451612903225805,0.8888888888888888,0.22988505747126436,0.5,0.5,1
1.0,0.056451612903225805,0.8888888888888888,0.1839080459770115,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.21895172413793101,0.5,0.5,1
1.0,0.3548387096774194,0.4444444444444444,0.05602758620689656,0.5,0.5,1
1.0,0.5564516129032258,0.7777777777777777,0.06479770114942529,0.5,0.5,1
